rt;choice;condition
0.477;1.0;1.0
0.6;1.0;1.0
0.5;0.0;1.0
0.416;1.0;1.0
0.435;1.0;1.0
0.499;1.0;1.0
0.531;1.0;1.0
0.616;1.0;1.0
0.492;1.0;1.0
0.682;1.0;1.0
0.525;1.0;1.0
0.714;1.0;1.0
0.467;0.0;1.0
1.106;1.0;1.0
0.427;1.0;1.0
0.681;1.0;1.0
0.438;1.0;1.0
0.584;0.0;1.0
0.461;1.0;1.0
0.466;1.0;1.0
0.488;1.0;1.0
0.431;1.0;1.0
0.501;1.0;1.0
0.444;1.0;1.0
0.496;1.0;1.0
0.5;1.0;1.0
0.716;1.0;1.0
0.449;1.0;1.0
0.45;1.0;1.0
0.552;1.0;1.0
0.479;1.0;1.0
0.497;1.0;1.0
0.463;1.0;1.0
0.54;0.0;1.0
0.44;1.0;1.0
0.425;1.0;1.0
0.554;1.0;1.0
0.663;1.0;1.0
0.434;1.0;1.0
0.463;1.0;1.0
0.423;1.0;1.0
0.423;1.0;1.0
0.45;1.0;1.0
0.687;1.0;1.0
0.587;1.0;1.0
0.584;1.0;1.0
0.531;1.0;1.0
0.718;1.0;1.0
0.534;1.0;1.0
0.565;1.0;1.0
0.43;1.0;1.0
0.505;0.0;1.0
0.456;1.0;1.0
0.668;1.0;1.0
0.459;1.0;1.0
0.509;1.0;1.0
0.506;1.0;1.0
0.741;1.0;1.0
0.633;1.0;1.0
0.475;1.0;1.0
0.635;1.0;1.0
0.456;1.0;1.0
0.466;1.0;1.0
0.567;1.0;1.0
0.449;1.0;1.0
0.451;1.0;1.0
0.464;1.0;1.0
0.467;1.0;1.0
0.559;1.0;1.0
0.425;1.0;1.0
0.452;1.0;1.0
0.411;1.0;1.0
0.528;1.0;1.0
0.429;1.0;1.0
0.521;1.0;1.0
0.54;0.0;1.0
0.652;1.0;1.0
0.687;1.0;1.0
0.57;1.0;1.0
0.484;0.0;1.0
0.545;1.0;1.0
0.479;1.0;1.0
0.68;1.0;1.0
0.434;1.0;1.0
0.458;1.0;1.0
0.501;1.0;1.0
0.509;1.0;1.0
0.462;1.0;1.0
0.452;1.0;1.0
0.522;1.0;1.0
0.431;1.0;1.0
